"","spp","bin_int","bin_n","Annual_mortality","n","ss_mn_age","ss_mn_len","ss_len_com","ss_age_com"
"78","Walleye",25,10,0.4,12,100,25,100,100
"79","Walleye",25,10,0.6,12,100,25,100,100
"80","Walleye",25,20,0.4,12,100,25,100,200
"81","Walleye",25,20,0.6,12,100,25,100,200
"82","Walleye",25,30,0.4,12,100,25,100,300
"83","Walleye",25,30,0.6,12,100,25,100,300
"84","Walleye",25,40,0.4,12,100,25,100,400
"85","Walleye",25,40,0.6,12,100,25,100,400
"86","Walleye",25,50,0.4,12,100,25,100,500
"87","Walleye",25,50,0.6,12,100,25,100,500
"88","White Crappie",10,10,0.2,12,100,25,200,100
"89","White Crappie",10,10,0.4,12,100,25,200,200
"90","White Crappie",10,10,0.6,12,100,25,100,200
"91","White Crappie",10,20,0.2,12,100,25,200,100
"92","White Crappie",10,20,0.4,12,100,25,200,300
"93","White Crappie",10,20,0.6,12,100,25,100,300
"94","White Crappie",10,30,0.2,12,100,25,200,100
"95","White Crappie",10,30,0.4,12,100,25,200,400
"96","White Crappie",10,30,0.6,12,100,25,100,400
"97","White Crappie",10,40,0.2,12,100,25,200,100
"98","White Crappie",10,40,0.4,12,100,25,200,500
"99","White Crappie",10,40,0.6,12,100,25,100,500
"100","White Crappie",10,50,0.2,12,100,25,200,200
"101","White Crappie",10,50,0.4,12,100,25,200,600
"102","White Crappie",10,50,0.6,12,100,25,100,600
"103","White Crappie",25,10,0.2,12,100,25,100,100
"104","White Crappie",25,10,0.4,12,100,25,100,100
"105","White Crappie",25,10,0.6,12,100,25,50,100
"106","White Crappie",25,20,0.2,12,100,25,100,100
"107","White Crappie",25,20,0.4,12,100,25,100,200
"108","White Crappie",25,20,0.6,12,100,25,50,200
"109","White Crappie",25,30,0.2,12,100,25,100,100
"110","White Crappie",25,30,0.4,12,100,25,100,200
"111","White Crappie",25,30,0.6,12,100,25,50,200
"112","White Crappie",25,40,0.2,12,100,25,100,200
"113","White Crappie",25,40,0.4,12,100,25,100,300
"114","White Crappie",25,40,0.6,12,100,25,50,300
"115","White Crappie",25,50,0.2,12,100,25,100,100
"116","White Crappie",25,50,0.4,12,100,25,100,300
"117","White Crappie",25,50,0.6,12,100,25,50,300
