"","spp","bin_int","bin_n","Annual_mortality","mla","No correction","rw"
"53","Largemouth Bass",25,30,0.2,100,25,25
"54","Largemouth Bass",25,30,0.4,500,50,50
"55","Largemouth Bass",25,30,0.6,NA,200,200
"56","Largemouth Bass",25,40,0.2,100,25,25
"57","Largemouth Bass",25,40,0.4,500,50,50
"58","Largemouth Bass",25,40,0.6,NA,200,200
"59","Largemouth Bass",25,50,0.2,100,25,25
"60","Largemouth Bass",25,50,0.4,500,50,50
"61","Largemouth Bass",25,50,0.6,NA,200,200
"62","Northern Pike",10,10,0.6,NA,300,300
"63","Northern Pike",10,40,0.4,700,100,100
"64","Northern Pike",10,50,0.4,700,100,100
"65","Northern Pike",25,30,0.4,900,900,900
"66","Northern Pike",25,40,0.4,700,100,100
"67","Northern Pike",25,50,0.4,700,100,100
"68","Walleye",10,10,0.4,500,100,100
"69","Walleye",10,10,0.6,NA,200,200
"70","Walleye",10,20,0.4,500,100,100
"71","Walleye",10,20,0.6,NA,200,200
"72","Walleye",10,30,0.4,400,100,100
"73","Walleye",10,30,0.6,NA,200,200
"74","Walleye",10,40,0.4,500,100,100
"75","Walleye",10,40,0.6,NA,200,200
"76","Walleye",10,50,0.4,500,100,100
"77","Walleye",10,50,0.6,NA,200,200
"78","Walleye",25,10,0.4,600,100,100
"79","Walleye",25,10,0.6,NA,300,300
"80","Walleye",25,20,0.4,500,100,100
"81","Walleye",25,20,0.6,NA,200,200
"82","Walleye",25,30,0.4,500,100,100
"83","Walleye",25,30,0.6,NA,200,200
"84","Walleye",25,40,0.4,500,100,100
"85","Walleye",25,40,0.6,NA,200,200
"86","Walleye",25,50,0.4,400,100,100
"87","Walleye",25,50,0.6,NA,200,200
"88","White Crappie",10,10,0.2,100,50,50
"89","White Crappie",10,10,0.4,300,50,50
"90","White Crappie",10,10,0.6,NA,200,200
"91","White Crappie",10,20,0.2,100,50,50
"92","White Crappie",10,20,0.4,300,50,50
"93","White Crappie",10,20,0.6,NA,100,100
"94","White Crappie",10,30,0.2,100,50,50
"95","White Crappie",10,30,0.4,300,50,50
"96","White Crappie",10,30,0.6,NA,100,100
"97","White Crappie",10,40,0.2,100,50,50
"98","White Crappie",10,40,0.4,300,50,50
"99","White Crappie",10,40,0.6,NA,100,100
"100","White Crappie",10,50,0.2,100,50,50
"101","White Crappie",10,50,0.4,300,100,100
"102","White Crappie",10,50,0.6,NA,100,100
"103","White Crappie",25,10,0.2,100,50,50
"104","White Crappie",25,10,0.4,900,100,100
"105","White Crappie",25,10,0.6,NA,200,300
"106","White Crappie",25,20,0.2,100,50,50
"107","White Crappie",25,20,0.4,300,50,50
"108","White Crappie",25,20,0.6,NA,200,200
"109","White Crappie",25,30,0.2,100,50,50
"110","White Crappie",25,30,0.4,300,50,50
"111","White Crappie",25,30,0.6,NA,200,200
"112","White Crappie",25,40,0.2,100,50,50
"113","White Crappie",25,40,0.4,300,50,50
"114","White Crappie",25,40,0.6,NA,100,100
"115","White Crappie",25,50,0.2,100,50,50
"116","White Crappie",25,50,0.4,300,50,50
"117","White Crappie",25,50,0.6,NA,200,200
